2026-06-19 10:00:32 | test_logger_core | INFO | hello core foundation
2026-06-19 10:00:32 | core.telemetry | INFO | operation=unit-test-op elapsed=0.000s
2026-06-19 10:02:06 | test_logger_core | INFO | hello core foundation
2026-06-19 10:02:06 | core.telemetry | INFO | operation=unit-test-op elapsed=0.000s
2026-06-19 10:15:49 | services.operations.word_to_pdf_adapter | INFO | Starting Word -> PDF conversion
2026-06-19 10:15:49 | services.operations.word_to_pdf_adapter | INFO | Completed Word -> PDF conversion (out_bytes=53)
2026-06-19 10:15:49 | core.telemetry | INFO | operation=operation=word_to_pdf elapsed=0.037s
2026-06-19 10:16:03 | test_logger_core | INFO | hello core foundation
2026-06-19 10:16:03 | core.telemetry | INFO | operation=unit-test-op elapsed=0.000s
2026-06-19 10:16:24 | services.operations.word_to_pdf_adapter | INFO | Starting Word -> PDF conversion
2026-06-19 10:16:24 | services.operations.word_to_pdf_adapter | INFO | Completed Word -> PDF conversion (out_bytes=53)
2026-06-19 10:16:24 | core.telemetry | INFO | operation=operation=word_to_pdf elapsed=0.033s
2026-06-19 10:16:40 | test_logger_core | INFO | hello core foundation
2026-06-19 10:16:40 | core.telemetry | INFO | operation=unit-test-op elapsed=0.000s
2026-06-19 10:17:58 | services.operations.pdf_to_word_adapter | INFO | Starting PDF -> Word conversion
2026-06-19 10:18:09 | services.operations.pdf_to_word_adapter | INFO | Completed PDF -> Word conversion (out_bytes=11899194)
2026-06-19 10:18:09 | core.telemetry | INFO | operation=operation=pdf_to_word elapsed=10.851s
2026-06-19 10:18:10 | services.operations.word_to_pdf_adapter | INFO | Starting Word -> PDF conversion
2026-06-19 10:18:10 | services.operations.word_to_pdf_adapter | INFO | Completed Word -> PDF conversion (out_bytes=53)
2026-06-19 10:18:10 | core.telemetry | INFO | operation=operation=word_to_pdf elapsed=0.039s
2026-06-19 10:18:11 | services.operations.compress_pdf_adapter | INFO | Starting compress_pdf
2026-06-19 10:18:13 | services.operations.compress_pdf_adapter | INFO | Completed compress_pdf (out_bytes=174531)
2026-06-19 10:18:13 | core.telemetry | INFO | operation=operation=compress_pdf elapsed=1.541s
2026-06-19 10:18:13 | services.operations.merge_pdf_adapter | INFO | Starting merge_pdfs (count=2)
2026-06-19 10:18:13 | services.operations.merge_pdf_adapter | INFO | Completed merge_pdfs (out_bytes=3190350)
2026-06-19 10:18:13 | core.telemetry | INFO | operation=operation=merge_pdfs elapsed=0.257s
2026-06-19 10:18:13 | services.operations.split_pdf_adapter | INFO | Starting split_pdf (start=1,end=1)
2026-06-19 10:18:13 | services.operations.split_pdf_adapter | ERROR | split_pdf failed: Use bytes API via split_pdf_bytes
2026-06-19 10:18:13 | core.telemetry | INFO | operation=operation=split_pdf elapsed=0.002s
2026-06-19 10:18:16 | services.operations.extract_text_adapter | INFO | Starting extract_text
2026-06-19 10:18:17 | services.operations.extract_text_adapter | INFO | Completed extract_text (chars=1)
2026-06-19 10:18:17 | core.telemetry | INFO | operation=operation=extract_text elapsed=1.099s
2026-06-19 10:18:43 | test_logger_core | INFO | hello core foundation
2026-06-19 10:18:43 | core.telemetry | INFO | operation=unit-test-op elapsed=0.000s
2026-06-19 10:18:59 | services.operations.pdf_to_word_adapter | INFO | Starting PDF -> Word conversion
2026-06-19 10:19:15 | services.operations.pdf_to_word_adapter | INFO | Completed PDF -> Word conversion (out_bytes=11899194)
2026-06-19 10:19:15 | core.telemetry | INFO | operation=operation=pdf_to_word elapsed=16.547s
2026-06-19 10:19:16 | services.operations.word_to_pdf_adapter | INFO | Starting Word -> PDF conversion
2026-06-19 10:19:17 | services.operations.word_to_pdf_adapter | INFO | Completed Word -> PDF conversion (out_bytes=53)
2026-06-19 10:19:17 | core.telemetry | INFO | operation=operation=word_to_pdf elapsed=0.715s
2026-06-19 10:19:17 | services.operations.compress_pdf_adapter | INFO | Starting compress_pdf
2026-06-19 10:19:22 | services.operations.compress_pdf_adapter | INFO | Completed compress_pdf (out_bytes=174531)
2026-06-19 10:19:22 | core.telemetry | INFO | operation=operation=compress_pdf elapsed=4.327s
2026-06-19 10:19:22 | services.operations.merge_pdf_adapter | INFO | Starting merge_pdfs (count=2)
2026-06-19 10:19:23 | services.operations.merge_pdf_adapter | INFO | Completed merge_pdfs (out_bytes=3190350)
2026-06-19 10:19:23 | core.telemetry | INFO | operation=operation=merge_pdfs elapsed=0.687s
